DONATION_ID,NAME,AGE,DATE_OF_BIRTH,STREET_ADDRESS,CITY,STATE,ZIP,PHONE,CATEGORY,ORGANIZATION,AMOUNT
189,Meghan Peters,60,1/24/55,53527 William Views,New Tiffanyton,NY,73037,855-645-9766,Community Service,"Webster, Tucker and Clark",2205972.27
190,"Sampson, Thomas",26,9/3/02,5320 Trujillo Villages Suite 934,Port Brianborough,AK,43699,209-821-3533,Health,Harmon and Sons,29.41
191,"Reed, Samantha",77,7/9/95,029 Rivas Locks Suite 665,New Darlene,NV,81074,473.176.2679,Health,"Phillips, Young and Smith",200.62
192,Victor Williams,19,10/5/56,1406 Shirley Ranch Suite 127,Patriciafurt,NV,58358,751-786-7147,Arts,"Hogan, Payne and Gonzales",117.66
193,Charles Roberts,50,1/11/95,669 Jerry Mall,Vaughnborough,NV,13409,139-968-6903,N/A,"Monroe, Stewart and Butler",270.4
194,"Lopez, Frank",65,12/9/58,869 Santos Branch Apt. 022,East Jessica,FL,58334,(326)557-6386,Religious,"Conley, Travis and Bell",443.8
195,"Griffin, Kristina",19,11/27/78,14324 Joseph Motorway,Brittanyburgh,HI,22488,507-215-3469,Unknown,"Patterson, Graves and Bowers",496.78
196,"Moran, Anthony",36,6/28/90,3214 Powell Center,Melaniechester,WI,80440,1-854-024-0989,Arts,"Johnson, Bowers and Johnson",341.85
197,Jonathan Church,53,6/29/83,72262 Evans Radial Suite 770,Sarahmouth,DC,69376,1-923-100-9593,N/A,"Morrison, Gonzalez and Lamb",156.33
198,Robert Todd,29,7/20/89,8732 Howard Neck Suite 974,Williamport,MI,61523,344325055,Sports,Hartman-Moore,3725835.68
199,"Mcdaniel, Mark",55,1/18/50,79845 Cardenas Prairie,Sethland,ME,40206,047.891.2089,Animal Welfare,Walters Inc,118.25
200,"Taylor, Richard",85,6/3/11,109 Wiley Knolls Suite 787,Whiteland,OK,61415,1-992-208-5266,Education,Daniels Ltd,354.59
